GID,PIPE_ID,PIPE_DIA,PIPE_TYPE,PIPE_MATRL,START_NODE,END_NODE,WAT_CATGRY,GEOMLENGTH,COMMENTS,ESTATE,DATE_MADE,CRITICALTY,OP_STATUS
13634072,487,50,,PVC,19846,19848,POTABLE,0.5,,326,1975-01-01,5,1
13634074,488,50,,PVC,19847,19849,POTABLE,0.5,,326,1975-01-01,5,1
13634077,490,100,,AC,19858,22105,POTABLE,6.015591,,326,1971-01-01,4,1
13634081,492,100,,AC,32947,19867,POTABLE,0.316723,,326,1971-01-01,4,1
13634083,493,100,,AC,19867,19866,POTABLE,0.452788,,326,1971-01-01,4,1
13634087,494,100,,PVC,19862,19863,POTABLE,0.716898,,326,1991-01-01,4,1
13634089,495,100,,PVC,19863,19864,POTABLE,0.463511,,326,1991-01-01,4,1
13634094,498,100,,PVC,19853,22106,POTABLE,2.229682,,326,1991-01-01,4,1
13634098,499,50,,PVC,19851,19850,POTABLE,158.0,,326,1980-01-01,5,1
13634102,500,50,,PVC,19868,19852,POTABLE,158.022949,,326,1987-01-01,5,1
13642812,502,200,,PVC,22889,22891,POTABLE,11.272444,,326,1981-01-01,4,1
13637754,503,100,,PVC,20354,20203,POTABLE,16.51945,,602,2008-11-10,4,1
13637756,504,100,,PVC,20203,20204,POTABLE,5.177071,,602,2008-11-10,4,1
13637758,505,100,,PVC,20204,20205,POTABLE,0.462561,,602,2008-11-10,4,1
13637760,506,100,,PVC,22090,34716,POTABLE,23.643119,,602,2008-11-10,4,1
13637762,507,100,,PVC,34716,20206,POTABLE,17.971958,,602,2008-11-10,4,1
13637763,508,100,,DICL,20206,20205,POTABLE,16.500021,,602,2008-11-10,4,1
13638926,510,100,,PVC,32729,20363,POTABLE,5.685698,,600,2009-02-02,4,1
13638928,511,100,,PVC,20363,20364,POTABLE,0.776371,,600,2009-02-02,4,1
13638931,512,100,,PVC,20364,20365,POTABLE,29.233105,,600,2009-02-02,4,1
13638933,513,100,,PVC,20365,20360,POTABLE,64.077109,,600,2009-02-02,4,1
