GID,SYM_NAME,SYM_SCALE,SYM_ANGLE,COMMENTS,TAG_VALUE,INCIDENT,JOB_NO,EVENT_DATE,DURATION,ASSET_CODE,CATEGORY,EVENT_TYPE,WS_GID,WS_Tolerance,FailYear,FinancialFailYear
11573612,_WJUNC,6,0,"Symbol Name unknown, set to _wjunc", ,3,1448,2006-05-15,<= 3,WP029577,WATER, ,376694,1m,2006,2005
11573627,_WJUNC,6,0,"Symbol Name unknown, set to _wjunc", ,4,1451,2006-05-17,<= 3,HY003075,WATER, ,349854,1m,2006,2005
11574062,_WJUNC,6,0,"Symbol Name unknown, set to _wjunc", ,4,322365,2006-05-19,,WV005471,WATER, ,337854,1m,2006,2005
11576012,_WJUNC,6,0,"Symbol Name unknown, set to _wjunc", ,4,1488,2006-06-08,<= 3,WP016013,WATER, ,2797696,5m,2006,2005
11576015,_WJUNC,6,0,"Symbol Name unknown, set to _wjunc", ,3,1491,2006-06-08,<= 3,WP015998,WATER, ,22485062,1m,2006,2005
11575255,_WJUNC,6,0,"Symbol Name unknown, set to _wjunc", ,3,1479,2006-06-05,<= 3,WP020554,WATER, ,334683,1m,2006,2005
11576016,_WJUNC,6,0,"Symbol Name unknown, set to _wjunc", ,3,1492,2006-06-07,<= 3,WP020554,WATER, ,334683,1m,2006,2005
11575259,_WJUNC,6,0,"Symbol Name unknown, set to _wjunc", ,3,1480,2006-06-03,<= 3,WP026332,WATER, ,350612,1m,2006,2005
11562283,_WJUNC,6,0,"Symbol Name unknown, set to _wjunc", ,4,1252,2006-01-21,<= 3,WP021200,WATER, ,335540,1m,2006,2005
11576011,_WJUNC,6,0,"Symbol Name unknown, set to _wjunc", ,4,1487,2006-06-13,<= 3,WP001951,WATER, ,10079823,1m,2006,2005
11572707,_WJUNC,6,0,"Symbol Name unknown, set to _wjunc", ,3,1444,2006-05-09,<= 3,WP008669,WATER, ,11065581,1m,2006,2005
11570093,_WJUNC,6,0,"Symbol Name unknown, set to _wjunc", ,3,315308,2006-04-09,,WN001424,WATER, ,10086088,1m,2006,2005
11574508,_WJUNC,6,0,"Symbol Name unknown, set to _wjunc", ,3,323348,2006-05-26,,WP006989,WATER, ,10137492,1m,2006,2005
11572528,_WJUNC,6,0,"Symbol Name unknown, set to _wjunc", ,3,1442,2006-05-03,<= 3,WP015966,WATER, ,20462453,1m,2006,2005
