GID,Suburb
13634072,DARLEY
13634074,DARLEY
13634077,DARLEY
13634081,DARLEY
13634083,DARLEY
13634087,DARLEY
13634089,DARLEY
13634094,DARLEY
13634098,DARLEY
13634102,DARLEY
13642812,WOODEND
13637754,DARLEY
13637756,DARLEY
13637758,DARLEY
13637760,DARLEY
13637762,DARLEY
13637763,DARLEY
13638926,DARLEY
13638928,DARLEY
13638931,DARLEY
13638933,DARLEY
13638935,DARLEY
13638937,DARLEY
13638939,DARLEY
13638941,DARLEY
13638943,DARLEY
13638945,DARLEY
13639834,SUNBURY
13639836,SUNBURY
13639838,SUNBURY
13639842,SUNBURY
13639844,SUNBURY
13639846,SUNBURY
13639848,SUNBURY
13639852,SUNBURY
13639854,SUNBURY
13640009,SUNBURY
13640012,SUNBURY
13640014,SUNBURY
13640017,SUNBURY
13640018,SUNBURY
13640051,SUNBURY
13640054,SUNBURY
13640057,SUNBURY
13640060,SUNBURY
13640063,SUNBURY
13640068,SUNBURY
13640074,SUNBURY
13640077,SUNBURY
13637750,DARLEY
13638102,DARLEY
13638105,DARLEY
13639756,KURUNJANG
13639760,KURUNJANG
13639761,KURUNJANG
11576171,SUNBURY
11576173,SUNBURY
11576175,SUNBURY
11576182,SUNBURY
11576184,SUNBURY
10124616,SUNBURY
10082877,SUNBURY
10082879,SUNBURY
11141014,PLUMPTON
11141016,PLUMPTON
11141018,PLUMPTON
11141020,PLUMPTON
11141023,PLUMPTON
11141025,PLUMPTON
11141035,PLUMPTON
11141038,PLUMPTON
11140771,MELTON
11140749,MELTON
11140775,MELTON
11140745,MELTON
11140747,MELTON
11140751,MELTON
11140753,MELTON
11140760,MELTON
13638947,DARLEY
13640402,RIDDELLS CREEK
13640360,RIDDELLS CREEK
13640362,RIDDELLS CREEK
13640364,RIDDELLS CREEK
13640366,RIDDELLS CREEK
13640370,RIDDELLS CREEK
13640372,RIDDELLS CREEK
13640374,RIDDELLS CREEK
13640377,RIDDELLS CREEK
11142273,MELTON
11142274,MELTON
11142259,MELTON
11142261,MELTON
11142278,MELTON
11142279,MELTON
11227062,SUNBURY
11268055,PLUMPTON
11268036,PLUMPTON
11268039,PLUMPTON
11268041,PLUMPTON
11268043,PLUMPTON
11268045,PLUMPTON
11268047,PLUMPTON
11004613,MELTON WEST
11004629,MELTON WEST
10061820,BACCHUS MARSH
10121137,RIDDELLS CREEK
10086390,RIDDELLS CREEK
10088850,SUNBURY
10089772,SUNBURY
2776969,MACEDON
2776971,MACEDON
2776972,MACEDON
2776980,MACEDON
10122508,SUNBURY
11140764,MELTON
11140769,MELTON
11140773,MELTON
10082450,WOODEND
13633587,KURUNJANG
13633589,KURUNJANG
13633593,KURUNJANG
13633595,KURUNJANG
13633597,KURUNJANG
13633599,KURUNJANG
13633600,KURUNJANG
13635004,MERRIMU
13635003,MERRIMU
13634646,DARLEY
13635005,MERRIMU
13635007,MERRIMU
13635009,MERRIMU
13635011,MERRIMU
13635037,MERRIMU
13635040,MERRIMU
13635044,MERRIMU
13635060,MERRIMU
13635064,MERRIMU
13635067,MERRIMU
11268049,PLUMPTON
11268051,PLUMPTON
11268053,PLUMPTON
11268058,PLUMPTON
11268061,PLUMPTON
11282924,SUNBURY
381321,SUNBURY
11282963,SUNBURY
11282969,SUNBURY
11282970,SUNBURY
11284045,SUNBURY
11284055,SUNBURY
11055817,PLUMPTON
11055820,PLUMPTON
11055826,PLUMPTON
13634107,DARLEY
13634108,DARLEY
13634124,DARLEY
13634126,DARLEY
13634128,DARLEY
13634130,DARLEY
13634134,DARLEY
13634136,DARLEY
13634139,DARLEY
13634141,DARLEY
13634143,DARLEY
10225478,MELTON WEST
11140780,MELTON
11140788,MELTON
11140790,MELTON
11140815,MELTON
11140821,ROCKBANK
11140824,MELTON
11140827,MELTON
11140805,MELTON
11140809,MELTON
11140811,MELTON
11140813,MELTON
11140817,ROCKBANK
11140819,ROCKBANK
11141037,PLUMPTON
10147249,SUNBURY
11140854,MELTON
11140855,MELTON
11140858,PLUMPTON
11140861,PLUMPTON
11140865,PLUMPTON
11268086,MELTON
11055770,PLUMPTON
11055842,PLUMPTON
11055818,PLUMPTON
20502604,GISBORNE
20502614,GISBORNE
20503238,HOPETOUN PARK
20503239,HOPETOUN PARK
20503240,HOPETOUN PARK
13635210,ROMSEY
13639766,KURUNJANG
13639767,KURUNJANG
13639770,KURUNJANG
13639772,KURUNJANG
13639774,KURUNJANG
