sgan,reportdate
S00932-11SW16B-S00170-11SW16D,20120610
S00713-11SW16B-S00730-11SW16B,20030109
S00119-11SW11A-S00118-11SW11A,20141020
S00305-11SW11C-S00307-11SW11C,20101119
S00301-11SW11C-S00304-11SW11C,20101116
S00137-11SW11A-S00139-11SW11A,20100115
S00140-11SW11A-S00142-11SW11A,20070509
S00140-11SW11A-S00142-11SW11A,20070510
S00066-11SW07C-S00034-11SW07C,20040616
S00066-11SW07C-S00034-11SW07C,20100503
S00066-11SW07C-S00034-11SW07C,20110612
S00888-11SW17C-S00887-11SW17C,20071108
S00876-11SW17C-S00875-11SW17C,20100813
S00160-11SW07C-S00156-11SW07C,20050228
S01452-11SW07A-S01453-11SW07A,20070310
S00162-11SW07A-S00220-11SW07A,20130723
S00162-11SW07A-S00220-11SW07A,20121123
S00162-11SW07A-S00220-11SW07A,20140525
S00152-11SW07A-S00187-11SW07A,20040624
S00150-11SW07C-S00115-11SW07C,20110114
S00150-11SW07C-S00115-11SW07C,20111204
S01151-11SW07C-S01154-11SW07C,20100525
S00841-11SW17C-S00844-11SW17C,20110118
S00824-11SW16B-S00823-11SW16B,20060308
S00078-11SW07A-S00080-11SW07A,20090805
S00078-11SW07A-S00080-11SW07A,20080813
S00421-11SW22A-S00522-11SW22A,20120608
S00837-11SW16B-S00838-11SW16B,20140730
S00715-11SW16B-S00717-11SW16B,20131121
S00779-11SW16B-S00935-11SW16B,20140429
S01003-11SW11D-S01006-11SW11D,20100803
S01003-11SW11D-S01006-11SW11D,20101119
S01007-11SW11D-S01010-11SW11D,20100803
S00575-11SW17C-S00574-11SW17C,20140121
S00986-11SW11D-S00980-11SW11D,20131205
S00076-11SW06C-S00077-11SW06C,20080320
S01305-11SW11D-S01108-11SW11D,20070421
S01309-11SW11D-S01306-11SW11D,20070327
S00082-11SW06C-S00081-11SW06C,20121219
S00344-11SW06C-S00038-11SW06C,19970424
S00344-11SW06C-S00038-11SW06C,19980708
S00344-11SW06C-S00038-11SW06C,19981015
S00344-11SW06C-S00038-11SW06C,20010801
S00344-11SW06C-S00038-11SW06C,20000919
S00036-11SW06C-S00037-11SW06C,20010421
S00028-11SW06C-S00029-11SW06C,20120504
S00028-11SW06C-S00029-11SW06C,20081006
S00026-11SW06C-S00368-11SW06C,20071109
S00019-11SW06C-S00028-11SW06C,20101031
S00421-11SW06C-S00024-11SW06C,20080524
S01600-11SW06D-S01596-11SW06D,20060115
S02640-11SW06D-S01600-11SW06D,20050802
S01596-11SW06D-S01599-11SW06D,20050824
S01599-11SW06D-S01594-11SW06D,20060125
S01581-11SW06D-S01580-11SW06D,20110512
S01579-11SW06D-S01584-11SW06D,20100612
S01584-11SW06D-S00290-11SW06D,20061127
S01584-11SW06D-S00290-11SW06D,20130422
S00284-11SW06D-S00285-11SW06D,20100415
S00284-11SW06D-S00285-11SW06D,20120116
S00279-11SW06D-S00282-11SW06D,20080405
S00064-11SW06C-S00065-11SW06C,20121031
S00065-11SW06C-S00067-11SW06C,20031030
S00349-11SW06C-S00351-11SW06C,20010617
S00349-11SW06C-S00351-11SW06C,19981123
S00349-11SW06C-S00351-11SW06C,19991231
S00349-11SW06C-S00351-11SW06C,19990210
S00041-11SW06C-S00040-11SW06C,20010427
S00041-11SW06C-S00040-11SW06C,20100319
S00041-11SW06C-S00040-11SW06C,20100726
S00041-11SW06C-S00350-11SW06C,20100617
S00348-11SW06C-S00349-11SW06C,20010618
S00348-11SW06C-S00349-11SW06C,20010830
S00348-11SW06C-S00349-11SW06C,19971025
S00435-11SW06C-S00432-11SW06C,19971205
S00356-11SW06C-S00360-11SW06C,20010617
S00356-11SW06C-S00360-11SW06C,20000610
S00356-11SW06C-S00360-11SW06C,19971021
S00356-11SW06C-S00360-11SW06C,19990927
S00431-11SW06C-S00439-11SW06C,20010623
S00431-11SW06C-S00439-11SW06C,19991227
S00442-11SW06C-S00443-11SW06C,20120418
S01074-11SW11D-S01313-11SW11D,20091101
S01618-11SW06D-S01610-11SW06D,20110819
S00307-11SW12C-S00309-11SW12C,20050907
S00366-11SW06D-S00361-11SW06D,20070703
S00369-11SW06D-S00329-11SW06D,20140715
S00372-11SW06D-S00371-11SW06D,19980224
S00225-11SW06D-S00221-11SW06D,20090605
S01693-11SW06D-S00272-11SW06D,20070910
S00229-11SW06D-S01743-11SW06D,20130111
S00204-11SW06D-S00208-11SW06D,20141219
S01589-11SW06D-S01590-11SW06D,20130718
S00379-11SW06D-S00423-11SW06D,20030522
S00379-11SW06D-S00423-11SW06D,19981117
S00379-11SW06D-S00423-11SW06D,20101213
S00379-11SW06D-S00423-11SW06D,20110309
S00379-11SW06D-S00423-11SW06D,20101211
S00375-11SW06D-S00379-11SW06D,20110308
S00375-11SW06D-S01589-11SW06D,20021003
S01853-11SW06D-S00344-11SW06D,20070909
S01568-11SW06D-S00303-11SW06D,19980722
S00302-11SW06D-S00300-11SW06D,20100311
S00303-11SW06D-S00302-11SW06D,20101202
S00300-11SW06D-S00297-11SW06D,20101114
S00408-11SW06D-S00406-11SW06D,19971114
S00409-11SW06D-S00404-11SW06D,20091021
S00404-11SW06D-S01841-11SW06D,20070704
S00303-11SW06D-S00301-11SW06D,20100909
S00307-11SW06D-S00310-11SW06D,20100312
S00307-11SW06D-S00319-11SW06D,20060106
S00304-11SW06D-S00307-11SW06D,20050108
S00304-11SW06D-S00307-11SW06D,20100305
S00327-11SW06D-S00328-11SW06D,20080713
S00295-11SW06D-S00148-11SW06D,20020412
S00295-11SW06D-S00148-11SW06D,20050706
S00432-11SW06D-S00435-11SW06D,19980126
S00424-11SW06D-S00437-11SW06D,20051129
S00424-11SW06D-S00437-11SW06D,20120327
S00424-11SW06D-S00437-11SW06D,20141112
S00252-11SW06D-S00249-11SW06D,20121229
S00245-11SW06D-S01742-11SW06D,19990120
S00237-11SW06D-S00247-11SW06D,20010915
S00237-11SW06D-S00247-11SW06D,20071012
S00237-11SW06D-S00247-11SW06D,20121001
S01617-11SW06D-S01616-11SW06D,20110418
S01887-11SW06D-S01891-11SW06D,20141119
S00384-11SW06D-S00383-11SW06D,20111101
S00223-11SW07C-S00160-11SW07C,20090320
S00223-11SW07C-S00160-11SW07C,20111218
S00038-11SW06D-S00039-11SW06D,20020313
S00038-11SW06D-S00039-11SW06D,20080409
S00018-11SW06D-S00020-11SW06D,20100325
S01862-11SW06D-S01665-11SW06D,20020612
S01862-11SW06D-S01665-11SW06D,19990116
S00057-11SW06D-S00063-11SW07C,20021024
S00107-11SW06D-S00086-11SW06D,20030305
S00107-11SW06D-S00086-11SW06D,20030312
S00107-11SW06D-S00086-11SW06D,20040119
S00107-11SW06D-S00086-11SW06D,20040212
S00080-11SW06D-S00096-11SW06D,20021001
S00080-11SW06D-S00096-11SW06D,19970909
S00086-11SW06D-S00094-11SW06D,20030328
S00199-11SW06D-S00181-11SW06D,20100810
S01404-11SW07A-S00022-11SW07C,20030804
S01404-11SW07A-S00022-11SW07C,20030731
S00088-11SW07C-S00108-11SW07C,19980408
S00100-11SW07A-S00104-11SW07A,20030930
S00123-11SW07A-S00091-11SW07A,20070104
S00123-11SW07A-S00091-11SW07A,20061004
S00123-11SW07A-S00091-11SW07A,20070401
S00123-11SW07A-S00091-11SW07A,20070706
S00123-11SW07A-S00091-11SW07A,20070913
S00123-11SW07A-S00091-11SW07A,20070914
S00123-11SW07A-S00091-11SW07A,20071025
S00123-11SW07A-S00091-11SW07A,20071214
S00123-11SW07A-S00091-11SW07A,20071220
S00123-11SW07A-S00091-11SW07A,20091203
S00123-11SW07A-S00091-11SW07A,20100107
