sgan,type,suburb,size,length,critical,environment,laid date,block number,trunk,source
13634072,PVC,other,50,0.0005,5,1,19750101,1,1,0
13634074,PVC,DARLEY,50,0.0005,5,1,19750101,1,1,DARLEY
13634077,AC,DARLEY,100,0.006015591,4,1,19710101,1,1,DARLEY
13634081,AC,DARLEY,100,0.000316723,4,1,19710101,1,1,DARLEY
13634083,AC,DARLEY,100,0.00045278800000000003,4,1,19710101,1,1,DARLEY
13634087,PVC,DARLEY,100,0.000716898,4,1,19910101,1,1,DARLEY
13634089,PVC,DARLEY,100,0.000463511,4,1,19910101,1,1,DARLEY
13634094,PVC,DARLEY,100,0.002229682,4,1,19910101,1,1,DARLEY
13634098,PVC,DARLEY,50,0.158,5,1,19800101,1,1,DARLEY
13634102,PVC,DARLEY,50,0.158022949,5,1,19870101,1,1,DARLEY
13642812,PVC,other,200,0.011272444,4,1,19810101,1,1,0
13637754,PVC,DARLEY,100,0.01651945,4,1,20081110,1,1,DARLEY
13637756,PVC,DARLEY,100,0.005177071,4,1,20081110,1,1,DARLEY
13637758,PVC,DARLEY,100,0.000462561,4,1,20081110,1,1,DARLEY
13637760,PVC,DARLEY,100,0.023643119,4,1,20081110,1,1,DARLEY
13637762,PVC,DARLEY,100,0.017971958,4,1,20081110,1,1,DARLEY
13637763,DICL,DARLEY,100,0.016500021,4,1,20081110,1,1,DARLEY
13638926,PVC,DARLEY,100,0.005685698,4,1,20090202,1,1,DARLEY
13638928,PVC,DARLEY,100,0.0007763710000000001,4,1,20090202,1,1,DARLEY
13638931,PVC,DARLEY,100,0.029233105,4,1,20090202,1,1,DARLEY
13638933,PVC,DARLEY,100,0.06407710900000001,4,1,20090202,1,1,DARLEY
13638935,PVC,DARLEY,100,0.00038007599999999997,4,1,20090202,1,1,DARLEY
13638937,DICL,DARLEY,100,0.018918828000000002,4,1,20090202,1,1,DARLEY
13638939,PVC,DARLEY,100,0.027416187,4,1,20090202,1,1,DARLEY
13638941,PVC,DARLEY,100,0.026260017000000004,4,1,20090202,1,1,DARLEY
13638943,PVC,DARLEY,100,0.007736338000000001,4,1,20090202,1,1,DARLEY
13638945,PVC,DARLEY,100,0.110218389,4,1,20090202,1,1,DARLEY
13639834,PVC,SUNBURY,100,0.020237626,4,1,20090414,1,1,SUNBURY
13639836,PVC,SUNBURY,100,0.054367063,4,1,20090414,1,1,SUNBURY
13639838,PVC,SUNBURY,100,0.12168183,4,1,20090414,1,1,SUNBURY
13639842,PVC,SUNBURY,100,0.00226599,4,1,20090414,1,1,SUNBURY
13639844,PVC,SUNBURY,100,0.0071795209999999995,4,1,20090414,1,1,SUNBURY
13639846,PVC,SUNBURY,100,0.08879056699999999,4,1,20090414,1,1,SUNBURY
13639848,PVC,SUNBURY,100,0.00053485,4,1,20090414,1,1,SUNBURY
13639852,PVC,SUNBURY,100,0.0023430910000000003,4,1,20090414,1,1,SUNBURY
13639854,PVC,SUNBURY,100,0.08162423,4,1,20090414,1,1,SUNBURY
13640009,PVC,SUNBURY,100,0.124441414,4,1,20090414,1,1,SUNBURY
13640012,PVC,SUNBURY,100,0.00053476,4,1,20090414,1,1,SUNBURY
13640014,PVC,SUNBURY,100,0.000764204,4,1,20090414,1,1,SUNBURY
