sgan,reportdate
376694,2005
22485062,2005
334683,2005
334683,2005
350612,2005
11065581,2005
10086088,2005
10137492,2005
20462453,2005
376726,2005
11543427,2005
10092889,2005
11329878,2005
335757,2005
337918,2005
23293882,2005
357403,2005
11560905,2005
10092127,2005
11095739,2005
352804,2005
11093612,2005
336535,2005
21196065,2005
335035,2005
2776854,2005
337762,2005
335762,2005
10099210,2005
10102549,2005
13664678,2005
349766,2005
11120281,2006
10093799,2006
11322234,2006
10096335,2006
336381,2006
378983,2006
335184,2005
2771158,2005
21427277,2005
11081316,2005
338272,2005
10100982,2005
21441102,2005
11126446,2005
334671,2005
11348987,2005
13508777,2005
11093600,2005
359771,2005
2761412,2005
11547003,2005
11146896,2005
23649395,2005
10097218,2005
21276479,2005
356930,2005
23294720,2005
10116105,2005
2777685,2005
335759,2005
11065713,2005
11146939,2005
2786569,2005
337751,2005
351794,2005
2785865,2005
337830,2005
22774256,2005
10096775,2005
10074285,2005
11139284,2005
11128708,2005
351549,2005
335530,2005
10025981,2005
10075732,2005
11539024,2005
358708,2005
10078227,2005
336504,2005
10100822,2005
11536831,2005
2769178,2005
11349033,2005
340259,2005
336478,2005
10077004,2005
10076814,2005
2786574,2005
2826010,2005
20497327,2005
353001,2005
11146816,2005
10072415,2005
337424,2005
350502,2005
10096787,2005
10098059,2005
13665766,2006
11065589,2006
2782492,2006
2773262,2006
2845980,2006
11116140,2006
20497325,2006
2767174,2006
338196,2006
10080891,2006
335751,2006
10100813,2006
21196065,2006
22775487,2006
21195434,2006
2845547,2006
11533909,2006
335322,2007
335322,2007
335322,2007
346117,2007
356914,2007
10102876,2007
11271496,2007
10017368,2007
10097329,2007
338429,2007
2782406,2007
20350098,2007
10087917,2007
339058,2007
11065575,2007
11313806,2007
11530208,2007
10084704,2007
2805152,2007
11264828,2007
23481808,2007
10092748,2009
10096098,2009
10101443,2009
21426592,2009
11139295,2009
25119716,2009
2778295,2009
21197299,2009
13489303,2009
2776670,2009
2845982,2009
337138,2009
11549280,2009
2782545,2009
2782543,2009
13633950,2009
351917,2009
13505552,2009
2797535,2009
337147,2009
13613851,2009
11065714,2009
355847,2009
2792577,2009
10100971,2009
24961156,2009
11269539,2009
10096339,2009
335320,2009
335320,2009
335320,2009
11555593,2009
13666718,2009
10095724,2009
24961156,2009
2761892,2009
337827,2009
337174,2009
13489303,2009
11114020,2009
13655117,2009
11337349,2009
2845950,2009
2785719,2009
22217922,2009
10074194,2009
11120275,2009
10101019,2009
2834805,2009
11091502,2009
2770977,2009
13613818,2009
2808239,2009
10097272,2009
336500,2009
337376,2009
335415,2009
377016,2009
339638,2009
11065546,2009
2805013,2009
2805024,2009
336763,2008
11539668,2008
10076806,2008
10102587,2008
10102587,2008
10102661,2008
335715,2008
10169155,2008
